instance,goal
n=350_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s103
n=100_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s18
n=250_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s105
n=500_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s324
n=250_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s8
n=300_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s11
n=350_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s35
n=250_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s25
n=50_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s4
n=200_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s66
n=500_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s120
n=350_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s140
n=500_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s329
n=150_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s77
n=50_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s15
n=500_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s6
n=100_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_actr=0.5_drc=0.25.lp,s24
