instance,goal
n=200_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_15.lp,s124
n=500_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_7.lp,s142
n=250_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_6.lp,s149
n=400_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_12.lp,s188
n=200_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_4.lp,s107
n=200_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_13.lp,s64
n=350_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_6.lp,s195
n=200_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_2.lp,s145
n=400_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_10.lp,s293
n=150_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_8.lp,s55
n=550_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_5.lp,s116
n=150_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_13.lp,s25
n=500_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_7.lp,s321
n=550_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_10.lp,s214
n=550_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_8.lp,s386
n=350_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_13.lp,s55
n=250_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_10.lp,s33
n=200_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_2.lp,s28
n=400_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_10.lp,s250
n=100_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_14.lp,s20
n=100_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_4.lp,s73
n=300_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_11.lp,s71
n=150_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_7.lp,s60
n=250_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_15.lp,s138
n=150_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_3.lp,s77
n=150_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_4.lp,s62
n=400_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_14.lp,s124
n=200_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_10.lp,s134
n=400_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_13.lp,s11
n=300_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_2.lp,s146
n=500_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_5.lp,s161
n=50_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_3.lp,s1
n=150_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_11.lp,s39
n=250_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_8.lp,s128
n=250_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_3.lp,s154
n=400_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_15.lp,s112
n=100_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_12.lp,s72
n=100_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_8.lp,s3
n=250_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_9.lp,s129
n=500_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_3.lp,s295
n=200_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_9.lp,s96
n=150_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_4.lp,s105
n=400_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_8.lp,s283
n=550_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_11.lp,s3
n=100_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_6.lp,s10
n=150_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_5.lp,s73
n=250_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_4.lp,s117
n=200_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_13.lp,s121
n=100_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_5.lp,s11
n=200_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_14.lp,s114
n=50_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_11.lp,s0
n=100_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_10.lp,s12
n=350_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_6.lp,s215
n=300_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_4.lp,s127
n=550_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_14.lp,s350
n=500_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_9.lp,s309
n=150_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_14.lp,s53
n=200_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_13.lp,s75
n=350_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_8.lp,s55
n=500_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_7.lp,s258
n=50_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_9.lp,s6
n=200_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_11.lp,s73
n=550_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_2.lp,s402
n=300_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_3.lp,s11
n=100_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_6.lp,s57
n=400_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_8.lp,s171
n=500_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_5.lp,s204
n=150_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_8.lp,s84
n=50_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_4.lp,s23
n=300_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_2.lp,s65
n=100_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_5.lp,s58
n=400_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_4.lp,s120
n=500_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_6.lp,s340
n=250_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_15.lp,s153
n=400_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_10.lp,s214
n=100_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_9.lp,s63
n=400_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_2.lp,s267
n=100_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_12.lp,s40
n=350_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_5.lp,s170
n=500_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_5.lp,s75
n=500_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_6.lp,s200
n=200_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_7.lp,s10
n=550_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_3.lp,s189
n=200_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_1.lp,s122
n=50_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_10.lp,s34
n=50_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_6.lp,s35
n=50_rps=2_spb=15_cps=1_a=0.05_p=0.25_dr=0.25_ac=0.25_drc=0.25_3.lp,s18
n=200_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_2.lp,s9
n=150_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_10.lp,s57
n=550_rps=2_spb=15_cps=1_a=0.01_p=0.25_dr=0.25_ac=0.25_drc=0.25_11.lp,s356
n=400_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_10.lp,s204
n=550_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_12.lp,s71
n=400_rps=2_spb=15_cps=1_a=0.005_p=0.25_dr=0.25_ac=0.25_drc=0.25_13.lp,s224
n=100_rps=2_spb=15_cps=1_a=0.1_p=0.25_dr=0.25_ac=0.25_drc=0.25_3.lp,s55
